No.,Broadcaster,Sniffer_Distance,RSSI,Malformed Packet
12365,6,75,-76 dBm,1
12401,6,75,-76 dBm,1
12420,6,75,-78 dBm,1
12447,6,75,-75 dBm,1
12485,6,75,-77 dBm,1
12525,6,75,-78 dBm,1
12565,6,75,-77 dBm,1
12585,6,75,-70 dBm,1
12595,6,75,-75 dBm,1
12609,6,75,-78 dBm,1
12616,6,75,-78 dBm,1
12640,6,75,-77 dBm,1
12650,6,75,-76 dBm,1
12654,6,75,-77 dBm,1
12660,6,75,-77 dBm,1
12671,6,75,-76 dBm,1
12742,6,75,-77 dBm,1
12818,6,75,-75 dBm,1
12951,6,75,-75 dBm,1
13017,6,75,-78 dBm,1
13025,6,75,-77 dBm,1
13074,6,75,-83 dBm,1
13130,6,75,-83 dBm,1
13140,6,75,-83 dBm,1
13152,6,75,-78 dBm,1
13161,6,75,-77 dBm,1
13186,6,75,-81 dBm,1
13195,6,75,-81 dBm,1
13217,6,75,-78 dBm,1
13253,6,75,-78 dBm,1
13302,6,75,-75 dBm,1
13322,6,75,-81 dBm,1
13366,6,75,-81 dBm,1
13381,6,75,-77 dBm,1
13398,6,75,-82 dBm,1
13402,6,75,-70 dBm,1
13415,6,75,-76 dBm,1
13419,6,75,-77 dBm,1
13436,6,75,-77 dBm,1
13484,6,75,-76 dBm,1
13497,6,75,-76 dBm,1
13512,6,75,-78 dBm,1
13544,6,75,-78 dBm,1
13567,6,75,-78 dBm,1
13586,6,75,-75 dBm,1
13594,6,75,-75 dBm,1
13605,6,75,-75 dBm,1
13637,6,75,-75 dBm,1
13668,6,75,-77 dBm,1
13671,6,75,-77 dBm,1
13720,6,75,-74 dBm,1
13738,6,75,-76 dBm,1
13769,6,75,-74 dBm,1
13775,6,75,-75 dBm,1
13783,6,75,-76 dBm,1
13801,6,75,-75 dBm,1
13881,6,75,-74 dBm,1
13942,6,75,-76 dBm,1
14040,6,75,-76 dBm,1
14057,6,75,-76 dBm,1
14087,6,75,-75 dBm,1
14100,6,75,-74 dBm,1
14139,6,75,-76 dBm,1
14222,6,75,-78 dBm,1
14225,6,75,-77 dBm,1
14262,6,75,-78 dBm,1
14331,6,75,-79 dBm,1
14367,6,75,-75 dBm,1
14391,6,75,-69 dBm,1
14422,6,75,-77 dBm,1
14479,6,75,-78 dBm,1
14488,6,75,-77 dBm,1
14499,6,75,-74 dBm,1
14520,6,75,-77 dBm,1
14537,6,75,-77 dBm,1
14629,6,75,-79 dBm,1
14630,6,75,-73 dBm,1
14633,6,75,-74 dBm,1
14649,6,75,-79 dBm,1
14686,6,75,-72 dBm,1
14713,6,75,-82 dBm,1
14755,6,75,-78 dBm,1
14778,6,75,-71 dBm,1
14797,6,75,-77 dBm,1
14799,6,75,-78 dBm,1
14806,6,75,-72 dBm,1
14808,6,75,-77 dBm,1
14818,6,75,-78 dBm,1
14830,6,75,-78 dBm,1
14839,6,75,-77 dBm,1
14864,6,75,-72 dBm,1
14979,6,75,-75 dBm,1
15012,6,75,-78 dBm,1
15047,6,75,-75 dBm,1
15138,6,75,-79 dBm,1
15174,6,75,-81 dBm,1
15199,6,75,-78 dBm,1
15289,6,75,-83 dBm,1
15295,6,75,-80 dBm,1
15329,6,75,-83 dBm,1
15344,6,75,-78 dBm,1
15454,6,75,-70 dBm,1
15469,6,75,-71 dBm,1
15512,6,75,-78 dBm,1
15521,6,75,-80 dBm,1
15532,6,75,-74 dBm,1
15572,6,75,-78 dBm,1
15624,6,75,-76 dBm,1
15677,6,75,-81 dBm,1
15764,6,75,-77 dBm,1
15838,6,75,-76 dBm,1
15852,6,75,-76 dBm,1
15867,6,75,-77 dBm,1
15910,6,75,-77 dBm,1
15926,6,75,-76 dBm,1
15942,6,75,-73 dBm,1
16035,6,75,-76 dBm,1
16039,6,75,-76 dBm,1
16081,6,75,-78 dBm,1
16106,6,75,-84 dBm,1
16109,6,75,-76 dBm,1
16156,6,75,-74 dBm,1
16160,6,75,-76 dBm,1
16201,6,75,-77 dBm,1
16229,6,75,-76 dBm,1
16247,6,75,-77 dBm,1
16258,6,75,-77 dBm,1
16271,6,75,-78 dBm,1
16277,6,75,-74 dBm,1
16283,6,75,-78 dBm,1
16309,6,75,-76 dBm,1
16327,6,75,-77 dBm,1
16381,6,75,-74 dBm,1
16389,6,75,-76 dBm,1
16392,6,75,-74 dBm,1
16477,6,75,-76 dBm,1
16538,6,75,-77 dBm,1
16546,6,75,-72 dBm,1
16564,6,75,-73 dBm,1
16565,6,75,-78 dBm,1
16579,6,75,-75 dBm,1
16598,6,75,-77 dBm,1
16609,6,75,-76 dBm,1
16671,6,75,-72 dBm,1
16692,6,75,-78 dBm,1
16823,6,75,-74 dBm,1
16841,6,75,-76 dBm,1
16900,6,75,-75 dBm,1
16908,6,75,-73 dBm,1
16909,6,75,-75 dBm,1
16931,6,75,-77 dBm,1
16935,6,75,-74 dBm,1
17008,6,75,-72 dBm,1
17036,6,75,-75 dBm,1
17047,6,75,-76 dBm,1
17064,6,75,-73 dBm,1
17081,6,75,-76 dBm,1
17126,6,75,-77 dBm,1
17261,6,75,-78 dBm,1
17274,6,75,-75 dBm,1
17297,6,75,-74 dBm,1
17312,6,75,-77 dBm,1
17468,6,75,-74 dBm,1
17536,6,75,-74 dBm,1
17544,6,75,-70 dBm,1
17603,6,75,-75 dBm,1
17634,6,75,-70 dBm,1
17656,6,75,-73 dBm,1
17708,6,75,-74 dBm,1
17738,6,75,-76 dBm,1
17741,6,75,-78 dBm,1
17745,6,75,-77 dBm,1
17772,6,75,-77 dBm,1
17776,6,75,-77 dBm,1
17838,6,75,-78 dBm,1
17846,6,75,-77 dBm,1
17864,6,75,-78 dBm,1
17888,6,75,-78 dBm,1
17899,6,75,-77 dBm,1
17907,6,75,-78 dBm,1
17919,6,75,-78 dBm,1
17954,6,75,-72 dBm,1
17955,6,75,-74 dBm,1
17956,6,75,-75 dBm,1
18002,6,75,-74 dBm,1
18033,6,75,-78 dBm,1
18070,6,75,-73 dBm,1
18132,6,75,-78 dBm,1
18221,6,75,-77 dBm,1
18389,6,75,-75 dBm,1
18433,6,75,-77 dBm,1
18456,6,75,-78 dBm,1
18463,6,75,-74 dBm,1
18511,6,75,-75 dBm,1
18565,6,75,-75 dBm,1
18584,6,75,-74 dBm,1
18594,6,75,-77 dBm,1
18609,6,75,-77 dBm,1
18616,6,75,-78 dBm,1
18633,6,75,-74 dBm,1
18695,6,75,-78 dBm,1
18703,6,75,-76 dBm,1
18724,6,75,-76 dBm,1
18731,6,75,-76 dBm,1
18755,6,75,-72 dBm,1
18790,6,75,-77 dBm,1
18808,6,75,-76 dBm,1
18811,6,75,-79 dBm,1
18852,6,75,-76 dBm,1
18859,6,75,-79 dBm,1
18878,6,75,-76 dBm,1
18914,6,75,-77 dBm,1
18920,6,75,-78 dBm,1
18964,6,75,-76 dBm,1
18972,6,75,-73 dBm,1
18994,6,75,-76 dBm,1
19001,6,75,-79 dBm,1
19005,6,75,-74 dBm,1
19026,6,75,-78 dBm,1
19052,6,75,-74 dBm,1
19104,6,75,-75 dBm,1
19123,6,75,-79 dBm,1
19138,6,75,-78 dBm,1
19184,6,75,-72 dBm,1
19188,6,75,-74 dBm,1
19200,6,75,-77 dBm,1
19221,6,75,-74 dBm,1
19275,6,75,-77 dBm,1
19300,6,75,-76 dBm,1
19322,6,75,-74 dBm,1
19325,6,75,-75 dBm,1
19451,6,75,-74 dBm,1
19485,6,75,-77 dBm,1
19503,6,75,-69 dBm,1
19507,6,75,-77 dBm,1
19518,6,75,-78 dBm,1
19539,6,75,-77 dBm,1
19541,6,75,-74 dBm,1
19564,6,75,-77 dBm,1
19601,6,75,-77 dBm,1
19684,6,75,-74 dBm,1
19731,6,75,-78 dBm,1
19797,6,75,-77 dBm,1
19834,6,75,-72 dBm,1
19835,6,75,-74 dBm,1
19836,6,75,-75 dBm,1
19843,6,75,-76 dBm,1
19981,6,75,-76 dBm,1
20022,6,75,-76 dBm,1
20049,6,75,-76 dBm,1
20056,6,75,-76 dBm,1
20071,6,75,-80 dBm,1
20094,6,75,-74 dBm,1
20152,6,75,-77 dBm,1
20155,6,75,-78 dBm,1
20171,6,75,-79 dBm,1
20191,6,75,-77 dBm,1
20320,6,75,-76 dBm,1
20410,6,75,-75 dBm,1
20430,6,75,-76 dBm,1
20431,6,75,-73 dBm,1
20461,6,75,-75 dBm,1
20510,6,75,-77 dBm,1
20520,6,75,-77 dBm,1
20534,6,75,-73 dBm,1
20540,6,75,-77 dBm,1
20545,6,75,-72 dBm,1
20546,6,75,-74 dBm,1
20547,6,75,-75 dBm,1
20550,6,75,-78 dBm,1
20566,6,75,-73 dBm,1
20623,6,75,-74 dBm,1
20659,6,75,-74 dBm,1
20717,6,75,-79 dBm,1
20730,6,75,-79 dBm,1
20737,6,75,-75 dBm,1
20740,6,75,-79 dBm,1
20769,6,75,-76 dBm,1
20785,6,75,-75 dBm,1
20809,6,75,-78 dBm,1
20859,6,75,-73 dBm,1
20891,6,75,-77 dBm,1
20894,6,75,-77 dBm,1
20898,6,75,-77 dBm,1
20922,6,75,-76 dBm,1
20923,6,75,-79 dBm,1
20987,6,75,-76 dBm,1
21012,6,75,-75 dBm,1
21020,6,75,-78 dBm,1
21054,6,75,-77 dBm,1
21075,6,75,-74 dBm,1
21123,6,75,-74 dBm,1
21141,6,75,-79 dBm,1
21152,6,75,-78 dBm,1
21202,6,75,-79 dBm,1
21231,6,75,-77 dBm,1
21258,6,75,-82 dBm,1
21293,6,75,-73 dBm,1
21315,6,75,-77 dBm,1
21367,6,75,-83 dBm,1
21399,6,75,-82 dBm,1
21410,6,75,-81 dBm,1
21434,6,75,-75 dBm,1
21539,6,75,-75 dBm,1
21543,6,75,-73 dBm,1
21553,6,75,-73 dBm,1
21582,6,75,-72 dBm,1
21583,6,75,-74 dBm,1
21584,6,75,-75 dBm,1
21651,6,75,-75 dBm,1
21681,6,75,-73 dBm,1
21703,6,75,-77 dBm,1
21732,6,75,-74 dBm,1
21740,6,75,-77 dBm,1
21750,6,75,-73 dBm,1
21837,6,75,-70 dBm,1
21845,6,75,-74 dBm,1
21903,6,75,-77 dBm,1
21906,6,75,-77 dBm,1
21930,6,75,-75 dBm,1
21973,6,75,-77 dBm,1
21977,6,75,-76 dBm,1
22020,6,75,-77 dBm,1
22047,6,75,-78 dBm,1
22059,6,75,-75 dBm,1
22063,6,75,-78 dBm,1
22067,6,75,-75 dBm,1
22081,6,75,-78 dBm,1
22121,6,75,-74 dBm,1
22127,6,75,-77 dBm,1
22155,6,75,-76 dBm,1
22189,6,75,-76 dBm,1
22211,6,75,-74 dBm,1
22218,6,75,-78 dBm,1
